unidade_territorial_id,unidade_territorial,nivel_territorial
1100015,Alta Floresta D'Oeste - RO,Município
1100023,Ariquemes - RO,Município
1100031,Cabixi - RO,Município
1100049,Cacoal - RO,Município
1100056,Cerejeiras - RO,Município
1100064,Colorado do Oeste - RO,Município
1100072,Corumbiara - RO,Município
1100080,Costa Marques - RO,Município
1100098,Espigão D'Oeste - RO,Município
1100106,Guajará-Mirim - RO,Município
1100114,Jaru - RO,Município
1100122,Ji-Paraná - RO,Município
1100130,Machadinho D'Oeste - RO,Município
1100148,Nova Brasilândia D'Oeste - RO,Município
1100155,Ouro Preto do Oeste - RO,Município
1100189,Pimenta Bueno - RO,Município
1100205,Porto Velho - RO,Município
1100254,Presidente Médici - RO,Município
1100262,Rio Crespo - RO,Município
1100288,Rolim de Moura - RO,Município
1100296,Santa Luzia D'Oeste - RO,Município
1100304,Vilhena - RO,Município
1100320,São Miguel do Guaporé - RO,Município
1100338,Nova Mamoré - RO,Município
1100346,Alvorada D'Oeste - RO,Município
1100379,Alto Alegre dos Parecis - RO,Município
1100403,Alto Paraíso - RO,Município
1100452,Buritis - RO,Município
1100502,Novo Horizonte do Oeste - RO,Município
1100601,Cacaulândia - RO,Município
1100700,Campo Novo de Rondônia - RO,Município
1100809,Candeias do Jamari - RO,Município
1100908,Castanheiras - RO,Município
1100924,Chupinguaia - RO,Município
1100940,Cujubim - RO,Município
1101005,Governador Jorge Teixeira - RO,Município
1101104,Itapuã do Oeste - RO,Município
1101203,Ministro Andreazza - RO,Município
1101302,Mirante da Serra - RO,Município
1101401,Monte Negro - RO,Município
1101435,Nova União - RO,Município
1101450,Parecis - RO,Município
1101468,Pimenteiras do Oeste - RO,Município
1101476,Primavera de Rondônia - RO,Município
1101484,São Felipe D'Oeste - RO,Município
1101492,São Francisco do Guaporé - RO,Município
1101500,Seringueiras - RO,Município
1101559,Teixeirópolis - RO,Município
1101609,Theobroma - RO,Município
1101708,Urupá - RO,Município
1101757,Vale do Anari - RO,Município
1101807,Vale do Paraíso - RO,Município
1200013,Acrelândia - AC,Município
1200054,Assis Brasil - AC,Município
1200104,Brasiléia - AC,Município
1200138,Bujari - AC,Município
1200179,Capixaba - AC,Município
1200203,Cruzeiro do Sul - AC,Município
1200252,Epitaciolândia - AC,Município
1200302,Feijó - AC,Município
1200328,Jordão - AC,Município
1200336,Mâncio Lima - AC,Município
1200344,Manoel Urbano - AC,Município
1200351,Marechal Thaumaturgo - AC,Município
1200385,Plácido de Castro - AC,Município
1200393,Porto Walter - AC,Município
1200401,Rio Branco - AC,Município
1200427,Rodrigues Alves - AC,Município
1200435,Santa Rosa do Purus - AC,Município
1200450,Senador Guiomard - AC,Município
1200500,Sena Madureira - AC,Município
1200609,Tarauacá - AC,Município
1200708,Xapuri - AC,Município
1200807,Porto Acre - AC,Município
1300029,Alvarães - AM,Município
1300060,Amaturá - AM,Município
1300086,Anamã - AM,Município
1300102,Anori - AM,Município
1300144,Apuí - AM,Município
1300201,Atalaia do Norte - AM,Município
1300300,Autazes - AM,Município
1300409,Barcelos - AM,Município
1300508,Barreirinha - AM,Município
1300607,Benjamin Constant - AM,Município
1300631,Beruri - AM,Município
1300680,Boa Vista do Ramos - AM,Município
1300706,Boca do Acre - AM,Município
1300805,Borba - AM,Município
1300839,Caapiranga - AM,Município
1300904,Canutama - AM,Município
1301001,Carauari - AM,Município
1301100,Careiro - AM,Município
1301159,Careiro da Várzea - AM,Município
1301209,Coari - AM,Município
1301308,Codajás - AM,Município
1301407,Eirunepé - AM,Município
1301506,Envira - AM,Município
1301605,Fonte Boa - AM,Município
1301654,Guajará - AM,Município
1301704,Humaitá - AM,Município
1301803,Ipixuna - AM,Município
1301852,Iranduba - AM,Município
1301902,Itacoatiara - AM,Município
1301951,Itamarati - AM,Município
1302009,Itapiranga - AM,Município
1302108,Japurá - AM,Município
1302207,Juruá - AM,Município
1302306,Jutaí - AM,Município
1302405,Lábrea - AM,Município
1302504,Manacapuru - AM,Município
1302553,Manaquiri - AM,Município
1302603,Manaus - AM,Município
1302702,Manicoré - AM,Município
1302801,Maraã - AM,Município
1302900,Maués - AM,Município
1303007,Nhamundá - AM,Município
1303106,Nova Olinda do Norte - AM,Município
1303205,Novo Airão - AM,Município
1303304,Novo Aripuanã - AM,Município
1303403,Parintins - AM,Município
1303502,Pauini - AM,Município
1303536,Presidente Figueiredo - AM,Município
1303569,Rio Preto da Eva - AM,Município
